# back_adjust=false
# TMFR1 rolls at 13:31 on settlement; prices are raw, not back-adjusted.
settlement_date,old_close_1330,new_open_1331,gap_points,gap_pct,new_volume
2025-06-18,22308.0,21910.0,-398.0,-1.7841,188
2025-07-16,23049.0,22890.0,-159.0,-0.6898,215
2025-08-20,23636.0,23660.0,24.0,0.1015,338
2025-09-17,25434.0,25479.0,45.0,0.1769,138
2025-10-15,27158.0,27294.0,136.0,0.5008,290
2025-11-19,26613.0,26664.0,51.0,0.1916,534
2025-12-17,27482.0,27653.0,171.0,0.6222,275
2026-01-21,31246.0,31487.0,241.0,0.7713,389
2026-02-23,33841.0,33888.0,47.0,0.1389,325
2026-03-18,34266.0,34517.0,251.0,0.7325,349
2026-04-15,36645.0,36985.0,340.0,0.9278,297
2026-05-20,40072.0,40118.0,46.0,0.1148,534
2026-06-17,45676.0,46013.0,337.0,0.7378,339
2026-07-15,45830.0,45975.0,145.0,0.3164,611
2026-08-19,44615.0,44668.0,53.0,0.1188,501
