day,entry_mode,exit_mode,entry_ts,entry_px,atr,net,gross,exit_reason,wash_label,w15,w30,w60,dip_depth,mfe,mae,br,delta_br,sell_ratio,vol_shrink,drive_high,drive_low
2026-02-03,flow_turn,sealed,1770083885,32218.0,34.0,-47.5,-42.5,stop_loss,momentum_clean,-171.0,-184.0,-78.0,225.0,20.0,215.0,0.5909,0.1382,0.4348,False,32412.0,32277.0
2026-02-03,flow_turn,wash_struct,1770083885,32218.0,34.0,-176.0,-171.0,horizon,momentum_clean,-171.0,-184.0,-78.0,225.0,20.0,215.0,0.5909,0.1382,0.4348,False,32412.0,32277.0
2026-02-03,flow_turn,drive_low_struct,1770083885,32218.0,34.0,52.0,57.0,stop_loss,momentum_clean,-171.0,-184.0,-78.0,225.0,20.0,215.0,0.5909,0.1382,0.4348,False,32412.0,32277.0
2026-02-03,flow_turn,momentum_tail,1770083885,32218.0,34.0,-189.0,-184.0,horizon,momentum_clean,-171.0,-184.0,-78.0,225.0,20.0,215.0,0.5909,0.1382,0.4348,False,32412.0,32277.0
2026-02-03,flow_turn,momentum_tail_trail,1770083885,32218.0,34.0,-189.0,-184.0,horizon,momentum_clean,-171.0,-184.0,-78.0,225.0,20.0,215.0,0.5909,0.1382,0.4348,False,32412.0,32277.0
2026-02-09,flow_turn,sealed,1770601500,32573.0,38.71,-5.0,0.0,breakeven,momentum_clean,54.0,74.0,107.0,52.0,115.0,39.0,0.8,0.1333,0.6201,False,32621.0,32514.0
2026-02-09,flow_turn,wash_struct,1770601500,32573.0,38.71,49.0,54.0,horizon,momentum_clean,54.0,74.0,107.0,52.0,115.0,39.0,0.8,0.1333,0.6201,False,32621.0,32514.0
2026-02-09,flow_turn,drive_low_struct,1770601500,32573.0,38.71,49.0,54.0,horizon,momentum_clean,54.0,74.0,107.0,52.0,115.0,39.0,0.8,0.1333,0.6201,False,32621.0,32514.0
2026-02-09,flow_turn,momentum_tail,1770601500,32573.0,38.71,65.77,70.77,trail_stop,momentum_clean,54.0,74.0,107.0,52.0,115.0,39.0,0.8,0.1333,0.6201,False,32621.0,32514.0
2026-02-09,flow_turn,momentum_tail_trail,1770601500,32573.0,38.71,65.77,70.77,trail_stop,momentum_clean,54.0,74.0,107.0,52.0,115.0,39.0,0.8,0.1333,0.6201,False,32621.0,32514.0
2026-02-09,p0,sealed,1770601904,32622.0,38.71,-53.39,-48.39,stop_loss,momentum_clean,49.0,30.0,39.0,87.0,66.0,72.0,0.789,0.0004,0.1967,False,32621.0,32514.0
2026-02-09,p0,wash_struct,1770601904,32622.0,38.71,44.0,49.0,horizon,momentum_clean,49.0,30.0,39.0,87.0,66.0,72.0,0.789,0.0004,0.1967,False,32621.0,32514.0
2026-02-09,p0,drive_low_struct,1770601904,32622.0,38.71,44.0,49.0,horizon,momentum_clean,49.0,30.0,39.0,87.0,66.0,72.0,0.789,0.0004,0.1967,False,32621.0,32514.0
2026-02-09,p0,momentum_tail,1770601904,32622.0,38.71,25.0,30.0,horizon,momentum_clean,49.0,30.0,39.0,87.0,66.0,72.0,0.789,0.0004,0.1967,False,32621.0,32514.0
2026-02-09,p0,momentum_tail_trail,1770601904,32622.0,38.71,25.0,30.0,horizon,momentum_clean,49.0,30.0,39.0,87.0,66.0,72.0,0.789,0.0004,0.1967,False,32621.0,32514.0
2026-02-09,reclaim_br,sealed,1770602859,32659.0,38.71,-26.0,-21.0,horizon,momentum_clean,-21.0,13.0,-12.0,87.0,29.0,50.0,0.3636,0.1414,0.5932,False,32621.0,32514.0
2026-02-09,reclaim_br,wash_struct,1770602859,32659.0,38.71,-26.0,-21.0,horizon,momentum_clean,-21.0,13.0,-12.0,87.0,29.0,50.0,0.3636,0.1414,0.5932,False,32621.0,32514.0
2026-02-09,reclaim_br,drive_low_struct,1770602859,32659.0,38.71,-26.0,-21.0,horizon,momentum_clean,-21.0,13.0,-12.0,87.0,29.0,50.0,0.3636,0.1414,0.5932,False,32621.0,32514.0
2026-02-09,reclaim_br,momentum_tail,1770602859,32659.0,38.71,8.0,13.0,horizon,momentum_clean,-21.0,13.0,-12.0,87.0,29.0,50.0,0.3636,0.1414,0.5932,False,32621.0,32514.0
2026-02-09,reclaim_br,momentum_tail_trail,1770602859,32659.0,38.71,8.0,13.0,horizon,momentum_clean,-21.0,13.0,-12.0,87.0,29.0,50.0,0.3636,0.1414,0.5932,False,32621.0,32514.0
2026-02-10,flow_turn,sealed,1770687900,33075.0,35.64,45.61,50.61,trail_stop,momentum_clean,58.0,37.0,12.0,66.0,72.0,53.0,0.8333,0.1667,0.4744,False,33139.0,32993.0
2026-02-10,flow_turn,wash_struct,1770687900,33075.0,35.64,45.61,50.61,trail_stop,momentum_clean,58.0,37.0,12.0,66.0,72.0,53.0,0.8333,0.1667,0.4744,False,33139.0,32993.0
2026-02-10,flow_turn,drive_low_struct,1770687900,33075.0,35.64,45.61,50.61,trail_stop,momentum_clean,58.0,37.0,12.0,66.0,72.0,53.0,0.8333,0.1667,0.4744,False,33139.0,32993.0
2026-02-10,flow_turn,momentum_tail,1770687900,33075.0,35.64,45.61,50.61,trail_stop,momentum_clean,58.0,37.0,12.0,66.0,72.0,53.0,0.8333,0.1667,0.4744,False,33139.0,32993.0
2026-02-10,flow_turn,momentum_tail_trail,1770687900,33075.0,35.64,45.61,50.61,trail_stop,momentum_clean,58.0,37.0,12.0,66.0,72.0,53.0,0.8333,0.1667,0.4744,False,33139.0,32993.0
2026-02-10,p0,sealed,1770688112,33140.0,35.64,-49.55,-44.55,stop_loss,wash_real,-48.0,-48.0,-68.0,87.0,7.0,118.0,0.8802,0.0004,0.1043,False,33139.0,32993.0
2026-02-10,p0,wash_struct,1770688112,33140.0,35.64,-53.0,-48.0,horizon,wash_real,-48.0,-48.0,-68.0,87.0,7.0,118.0,0.8802,0.0004,0.1043,False,33139.0,32993.0
2026-02-10,p0,drive_low_struct,1770688112,33140.0,35.64,-53.0,-48.0,horizon,wash_real,-48.0,-48.0,-68.0,87.0,7.0,118.0,0.8802,0.0004,0.1043,False,33139.0,32993.0
2026-02-10,p0,momentum_tail,1770688112,33140.0,35.64,-53.0,-48.0,horizon,wash_real,-48.0,-48.0,-68.0,87.0,7.0,118.0,0.8802,0.0004,0.1043,False,33139.0,32993.0
2026-02-10,p0,momentum_tail_trail,1770688112,33140.0,35.64,-53.0,-48.0,horizon,wash_real,-48.0,-48.0,-68.0,87.0,7.0,118.0,0.8802,0.0004,0.1043,False,33139.0,32993.0
2026-02-11,p0,sealed,1770774300,33501.0,33.0,-5.0,0.0,breakeven,momentum_clean,9.0,39.0,154.0,6.0,161.0,39.0,0.8837,0.0028,0.4826,False,33500.0,33367.0
2026-02-11,p0,wash_struct,1770774300,33501.0,33.0,4.0,9.0,horizon,momentum_clean,9.0,39.0,154.0,6.0,161.0,39.0,0.8837,0.0028,0.4826,False,33500.0,33367.0
2026-02-11,p0,drive_low_struct,1770774300,33501.0,33.0,4.0,9.0,horizon,momentum_clean,9.0,39.0,154.0,6.0,161.0,39.0,0.8837,0.0028,0.4826,False,33500.0,33367.0
2026-02-11,p0,momentum_tail,1770774300,33501.0,33.0,34.0,39.0,horizon,momentum_clean,9.0,39.0,154.0,6.0,161.0,39.0,0.8837,0.0028,0.4826,False,33500.0,33367.0
2026-02-11,p0,momentum_tail_trail,1770774300,33501.0,33.0,34.0,39.0,horizon,momentum_clean,9.0,39.0,154.0,6.0,161.0,39.0,0.8837,0.0028,0.4826,False,33500.0,33367.0
