day,entry_mode,exit_mode,entry_ts,entry_px,atr,net,gross,exit_reason,wash_label,w15,w30,w60,dip_depth,mfe,mae,br,delta_br,sell_ratio,vol_shrink,drive_high,drive_low,open_0845
2025-04-02,flow_turn,sealed,1743558300,21314.0,26.0,6.0,11.0,horizon,momentum_clean,11.0,-101.0,-48.0,46.0,18.0,127.0,0.8,0.1333,0.4286,False,21358.0,21242.0,21270.0
2025-04-02,flow_turn,wash_struct,1743558300,21314.0,26.0,6.0,11.0,horizon,momentum_clean,11.0,-101.0,-48.0,46.0,18.0,127.0,0.8,0.1333,0.4286,False,21358.0,21242.0,21270.0
2025-04-02,flow_turn,drive_low_struct,1743558300,21314.0,26.0,6.0,11.0,horizon,momentum_clean,11.0,-101.0,-48.0,46.0,18.0,127.0,0.8,0.1333,0.4286,False,21358.0,21242.0,21270.0
2025-04-02,flow_turn,flow_bailout,1743558300,21314.0,26.0,6.0,11.0,horizon,momentum_clean,11.0,-101.0,-48.0,46.0,18.0,127.0,0.8,0.1333,0.4286,False,21358.0,21242.0,21270.0
2025-04-02,flow_turn,momentum_tail,1743558300,21314.0,26.0,-106.0,-101.0,horizon,momentum_clean,11.0,-101.0,-48.0,46.0,18.0,127.0,0.8,0.1333,0.4286,False,21358.0,21242.0,21270.0
2025-04-02,flow_turn,momentum_tail_trail,1743558300,21314.0,26.0,-106.0,-101.0,horizon,momentum_clean,11.0,-101.0,-48.0,46.0,18.0,127.0,0.8,0.1333,0.4286,False,21358.0,21242.0,21270.0
2025-04-11,p0,sealed,1744336628,19083.0,66.57,-88.21,-83.21,stop_loss,momentum_clean,-50.0,183.0,77.0,155.0,231.0,144.0,0.6811,0.0007,0.278,False,19082.0,18656.0,18561.0
2025-04-11,p0,wash_struct,1744336628,19083.0,66.57,-55.0,-50.0,horizon,momentum_clean,-50.0,183.0,77.0,155.0,231.0,144.0,0.6811,0.0007,0.278,False,19082.0,18656.0,18561.0
2025-04-11,p0,drive_low_struct,1744336628,19083.0,66.57,-55.0,-50.0,horizon,momentum_clean,-50.0,183.0,77.0,155.0,231.0,144.0,0.6811,0.0007,0.278,False,19082.0,18656.0,18561.0
2025-04-11,p0,flow_bailout,1744336628,19083.0,66.57,-47.0,-42.0,flow_bailout_e1,momentum_clean,-50.0,183.0,77.0,155.0,231.0,144.0,0.6811,0.0007,0.278,False,19082.0,18656.0,18561.0
2025-04-11,p0,momentum_tail,1744336628,19083.0,66.57,100.06,105.06,trail_stop,momentum_clean,-50.0,183.0,77.0,155.0,231.0,144.0,0.6811,0.0007,0.278,False,19082.0,18656.0,18561.0
2025-04-11,p0,momentum_tail_trail,1744336628,19083.0,66.57,100.06,105.06,trail_stop,momentum_clean,-50.0,183.0,77.0,155.0,231.0,144.0,0.6811,0.0007,0.278,False,19082.0,18656.0,18561.0
2025-04-15,flow_turn,sealed,1744681500,19629.0,33.57,21.0,26.0,horizon,momentum_clean,26.0,100.0,129.0,37.0,138.0,23.0,0.5556,0.127,0.2958,True,19662.0,19572.0,19583.0
